id_bic,nivel,codigo_nacional,tipo_bic,grupo,subgrupo,categoria,subcategoria,codigo_dane,codigo_dane₂,nombre_bien,direccion,acto_administrativo,zona_influencia,pemp
bic0001,Nacional,01-01-01-03-15-087-000001,Inmueble,Arquitectónico,Arquitectura Religiosa,Centro Doctrinero,Capilla Doctrinera,15087,,Capilla Doctrinera Belén de Cerinza,Afueras Del Perímetro Urbano,Resolución 1686 del 1 de diciembre de 2004,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0002,Nacional,01-01-01-03-15-092-000001,Inmueble,Arquitectónico,Arquitectura Religiosa,Centro Doctrinero,Capilla Doctrinera,15092,,Capilla Doctrinera Beteitiva,Plaza Principal,Resolución 1686 del 1 de diciembre de 2004,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0003,Nacional,01-01-01-08-15-176-000001,Inmueble,Arquitectónico,Arquitectura Para El Transporte,Estación Del Ferrocarril,Terminal De Pasajeros,15176,,Estación del Ferrocarril Chiquinquirá,"Ferrocarril Del Norte. Línea La Caro -
Barbosa. Kilómetro 144. Entre Las Calles 21 Y 23, Avenida Salazar Y Río Chiquinquirá","Decreto 746 del 24 de abril de 1996.
Decreto 3053 19-XII-1990","Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0004,Nacional,01-01-01-03-15-232-000001,Inmueble,Arquitectónico,Arquitectura Religiosa,Centro Doctrinero,Capilla Doctrinera,15232,,Capilla Doctrinera de San Isidro de Chíquiza,Plaza Principal,Resolución 1686 del 1 de diciembre de 2004,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0005,Nacional,01-01-01-03-15-187-000001,Inmueble,Arquitectónico,Arquitectura Religiosa,Iglesia,Ermita,15187,,Ermita de Chivatá,Plaza Principal. Ruta De La Campaña Libertadora,Resolución 1686 del 1 de diciembre de 2004,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0006,Nacional,01-01-01-02-15-215-000001,Inmueble,Arquitectónico,Arquitectura Habitacional,Vivienda Rural,Casa De Hacienda,15215,,"Casa del General Juan José Reyes Patria. Héroe de la Batalla de
Gámeza",,Ley 51 del 26 de diciembre de 1967,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0007,Nacional,01-01-01-03-15-224-000001,Inmueble,Arquitectónico,Arquitectura Religiosa,Centro Doctrinero,Capilla Doctrinera,15224,,Capilla Doctrinera Cucaita,Plaza Principal,Resolución 1686 del 1 de diciembre de 2004,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0008,Nacional,01-01-01-03-15-226-000001,Inmueble,Arquitectónico,Arquitectura Religiosa,Centro Doctrinero,Capilla Doctrinera,15226,,Capilla Doctrinera Cuítiva,Plaza Principal,Resolución 1686 del 1 de diciembre de 2005,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
bic0009,Nacional,01-01-01-06-15-238-000002,Inmueble,Arquitectónico,Arquitectura Para La Industria,Molino,Molino,15238,,Conjunto arquitectónico del Molino Tundama,"Diagonal 16 19-73, Diagonal 16 19-101",Resolución 0433 de 29 de diciembre de 2021,"Resolución 0433 de 29 de
diciembre de 2021","Resolución 0433 de 29 de
diciembre de 2021"
bic0010,Nacional,01-01-01-08-15-238-000002,Inmueble,Arquitectónico,Arquitectura Para El Transporte,Estación Del Ferrocarril,Terminal De Pasajeros,15238,,Estación del Ferrocarril Duitama,Carrera 20 Entre Calles 14 Y 15,Decreto 746 del 24 de abril de 1996,"Definida según lo enunciado en el Artículo 14 del Decreto 2358 de
2019",
